ID,Hash,filetype,filesize,family,tag
12103,829a1c17b3b9f2b67989ec8e3d7f24031ecb2269ecfd600c9a8c48bbc9a946e2,11,91811159,1,5
12104,72d5e1143a3f5151bee7c43fee436bcf30ea1144abb9e8f1453cdad764ec39b8,5,201326592,1,5
12105,bef85fcdea0bd67680d9f54c6bafc572330fe3f5a2d2090764b4e1053f976920,6,288256,2,0
12106,85dc072013e535898a3142e3cdb36000fa542c0d85852f0018288fa9cd197f1c,5,262144,1,5
12107,c849a41b371b77da68422459c509be6d6cfe7902b71adbb75e5c51a1fea06e0a,8,362,1,5
12108,3624caf991b2a25e99a1ab1b2aa3201cbecdef46b55beb3609bfbc3a60d0f14d,1,1074264,21,0
12109,f1707995f9188e66f5d61938d9b66e55ad2b6f3e7806a1e9040caccecb03bed4,1,994304,1,0
12110,22fadc8c156117a7979ab326e7fe3bc6452e4534fb31a235af17e758c90d0c74,1,1004632,1,0
12111,ac8a27be9661686826434fa6e40bc43b9ee45dffd4b8c1c603579b8829755bc8,1,1063936,21,0
12112,0676025766bdf926524564513afec8e631e609262a21a42f8416aaf081356bf3,1,1063936,1,0
12113,ad15d473399c109da9f4adb0bae6626c848ff6ec780b180f8f9dfe3c545052ea,12,767307,3,0
12114,bf94a8f82f9b3ec1ad36be72a27813a661654bc5215559bf10b9eddfd49021b4,7,834116,3,0
12115,25affc7e638b626db13e01529b45ca91564ec35565353405f23e7c0108b49954,13,2739,1,8
12116,61cbb180748008de2703a2b0471cf36846a891e57e2037b7036f6b34b44f3018,6,10752,1,0
12117,44826a469c7676b99f0977b969bbd8910ecdc11818946977c6033b2ac27ae187,6,8704,1,0
12118,56846864752aa5ffd1fd4ba4e09680e832dc85a4558f01437a9c1fd9cea061cf,6,357888,1,0
12119,f54410b5279122ff1e98012caaf721aa381842e4976a39db3a4f6b5ef8e644c3,8,2312,1,5
12120,4f3b529b3d8df7b588fb3e53edad05dc50a81cdb477b3e347a7901baf18decd0,8,2720,3,4
12121,839c80224e84c154fae8c195fc8bce291c67e6cb3651603e2407b78ce49602d4,6,10240,1,0
12122,090c303758d185da971f1e3261c39f163a20b06392767a3ff48dc2eb2f527b55,6,8704,1,0
12123,f21ebf9fad10e7fed0bcd9c2c3ce70be5287f5ccda5000881bcee5b30c23ca0d,5,3584,1,11
12124,f2894433ed2af9549bd7b3bf920e79fa77e52a77c6097623ebe497586f2d2a22,1,508600,1,5
12125,8270c13870e1b5121f0bd2168e938eb06ccf9e2f0dcc4b0c8e7c97574c03af49,6,523776,1,5
