start,end,type
197,7127,6
197,7128,6
197,7129,6
197,7130,6
197,7131,6
36,7025,6
36,7026,6
36,7024,6
36,7028,6
36,7022,6
36,7062,6
36,7132,6
36,7017,6
36,7020,6
36,7021,6
95,7029,6
95,7067,6
95,7068,6
95,7022,6
95,7027,6
95,7019,6
95,7132,6
95,7017,6
95,7133,6
95,7062,6
44,7110,6
44,7134,6
42,7110,6
42,7135,6
42,7136,6
42,7137,6
42,7138,6
42,7139,6
42,7140,6
42,7141,6
43,7142,6
43,7100,6
43,7099,6
43,7098,6
43,7110,6
43,7143,6
43,7144,6
112,7111,6
112,7145,6
112,7146,6
119,12000,7
193,12001,7
135,12002,7
135,12003,7
217,12004,7
217,12005,7
138,12006,7
138,12007,7
103,12008,7
103,12009,7
103,12010,7
103,12011,7
59,12012,7
59,12013,7
59,12014,7
59,12015,7
59,12016,7
59,12017,7
59,12018,7
59,12019,7
59,12020,7
59,12021,7
196,12022,7
196,12023,7
196,12024,7
196,12025,7
196,12026,7
196,12027,7
26,12028,7
145,12029,7
145,12030,7
145,12031,7
145,12032,7
145,12033,7
145,12034,7
145,12035,7
145,12036,7
145,12037,7
145,12038,7
16,12039,7
114,12040,7
114,12041,7
114,12042,7
155,12043,7
155,12044,7
155,12045,7
155,12046,7
155,12047,7
155,12048,7
155,12049,7
155,12050,7
155,12051,7
155,12052,7
168,12053,7
168,12054,7
203,12055,7
203,12056,7
203,12057,7
203,12058,7
28,12059,7
28,12060,7
28,12061,7
28,12062,7
28,12063,7
28,12064,7
28,12065,7
28,12066,7
28,12067,7
28,12068,7
192,12069,7
192,12070,7
192,12071,7
197,12072,7
197,12073,7
197,12074,7
197,12075,7
197,12076,7
197,12077,7
197,12078,7
197,12079,7
197,12080,7
197,12081,7
36,12082,7
95,12083,7
42,12084,7
42,12085,7
42,12086,7
42,12087,7
42,12088,7
42,12089,7
217,12090,7
217,12091,7
138,12092,7
138,12093,7
138,12094,7
138,12095,7
59,12096,7
59,12097,7
59,12098,7
59,12099,7
59,12100,7
59,12101,7
59,12102,7
59,12103,7
59,12104,7
59,12105,7
74,12106,7
16,12107,7
155,12108,7
155,12109,7
155,12110,7
155,12111,7
155,12112,7
168,12113,7
168,12114,7
27,12115,7
77,12116,7
192,12117,7
192,12116,7
192,12118,7
36,12119,7
95,12120,7
43,12121,7
112,12121,7
112,12122,7
113,175,8
113,57,8
113,98,8
113,33,8
113,107,8
113,85,8
113,15,8
113,39,8
113,7,8
113,122,8
5,93,8
5,150,8
150,93,8
150,5,8
75,175,8
75,57,8
75,98,8
75,33,8
75,107,8
75,85,8
75,15,8
75,39,8
75,7,8
75,122,8
193,131,8
193,167,8
193,140,8
193,190,8
135,6102,8
135,160,8
135,111,8
135,37,8
135,80,8
135,99,8
135,47,8
135,51,8
135,206,8
135,178,8
217,6102,8
217,160,8
217,111,8
217,37,8
217,80,8
217,99,8
217,47,8
217,51,8
217,206,8
217,178,8
138,92,8
138,142,8
138,157,8
103,69,8
188,151,8
188,124,8
188,102,8
110,94,8
110,8,8
151,124,8
151,102,8
151,188,8
8,94,8
94,8,8
102,151,8
102,124,8
102,188,8
173,196,8
173,120,8
173,125,8
125,196,8
125,120,8
125,173,8
17,196,8
17,120,8
17,125,8
17,173,8
120,196,8
120,125,8
120,173,8
147,6102,8
147,160,8
147,111,8
147,37,8
147,80,8
147,99,8
147,47,8
147,51,8
147,206,8
147,178,8
26,6102,8
26,160,8
26,111,8
26,37,8
26,80,8
26,99,8
26,47,8
26,51,8
26,206,8
26,178,8
145,158,8
145,210,8
145,25,8
145,66,8
145,211,8
145,212,8
145,97,8
145,189,8
145,149,8
145,71,8
187,175,8
187,57,8
187,98,8
187,33,8
187,107,8
187,85,8
187,15,8
187,39,8
187,7,8
187,122,8
16,6102,8
16,160,8
16,111,8
16,37,8
16,80,8
16,99,8
16,47,8
16,51,8
16,206,8
16,178,8
114,175,8
114,57,8
114,98,8
114,33,8
114,107,8
114,85,8
114,15,8
114,39,8
114,7,8
114,122,8
108,155,8
96,168,8
96,27,8
27,168,8
27,96,8
203,40,8
203,28,8
203,29,8
40,203,8
40,28,8
40,29,8
29,203,8
29,40,8
29,28,8
197,175,8
197,57,8
197,98,8
197,33,8
197,107,8
197,85,8
197,15,8
197,39,8
197,7,8
197,122,8
36,6102,8
36,160,8
36,111,8
36,37,8
36,80,8
36,99,8
36,47,8
36,51,8
36,206,8
36,178,8
95,6102,8
95,160,8
95,111,8
95,37,8
95,80,8
95,99,8
95,47,8
95,51,8
95,206,8
95,178,8
42,14,8
93,93,8
93,150,8
93,5,8
59,162,8
59,133,8
59,2,8
59,59,8
59,144,8
59,127,8
59,82,8
74,8,8
74,94,8
214,124,8
214,102,8
214,188,8
214,151,8
196,196,8
196,120,8
196,125,8
196,173,8
155,155,8
155,108,8
168,168,8
168,96,8
168,27,8
28,28,8
28,203,8
28,40,8
28,29,8
77,18,8
192,192,8
44,34,8
44,44,8
112,112,8
113,38,8
75,38,8
135,207,8
217,207,8
138,20,8
188,214,8
110,74,8
151,214,8
8,74,8
94,74,8
102,214,8
147,207,8
26,207,8
145,9,8
187,38,8
16,207,8
114,38,8
197,38,8
36,207,8
95,207,8
12490,12432,1
12490,12433,1
12490,12434,1
12490,12435,1
12490,12436,1
12490,12437,1
12490,12438,1
12490,12439,1
12490,12440,1
12490,12441,1
12478,439,3
12478,461,3
12478,469,3
12479,433,3
12479,504,3
12479,461,3
12479,427,3
12479,469,3
12479,496,3
12352,484,3
12352,504,3
12352,461,3
12352,427,3
12352,469,3
12352,496,3
12377,430,3
12377,450,3
12365,479,3
12365,506,3
12365,487,3
12365,474,3
12365,510,3
12365,503,3
12365,443,3
12365,508,3
12334,479,3
12334,506,3
12334,287,3
12334,58,3
12334,487,3
12334,474,3
12334,510,3
12334,503,3
12334,22,3
12334,491,3
12350,504,3
12350,461,3
12350,440,3
12350,427,3
12350,469,3
12350,496,3
12480,422,3
12480,452,3
12356,464,3
12356,504,3
12356,461,3
12356,427,3
12356,469,3
12356,496,3
12451,514,3
12451,437,3
12451,502,3
12372,479,3
12372,221,3
12372,453,3
12372,506,3
12372,302,3
12372,487,3
12372,474,3
12372,510,3
12372,503,3
12381,492,3
12390,475,3
12390,498,3
12392,479,3
12392,506,3
12392,516,3
12392,487,3
12392,474,3
12392,510,3
12392,503,3
12392,426,3
12472,514,3
12472,437,3
12472,502,3
12401,471,3
12401,446,3
12399,494,3
12394,479,3
12394,506,3
12394,493,3
12394,487,3
12394,474,3
12394,510,3
12394,503,3
12394,454,3
12394,441,3
12343,463,3
12343,6103,3
12481,479,3
12481,457,3
12481,506,3
12481,487,3
12481,474,3
12481,510,3
12481,503,3
12481,425,3
12342,479,3
12342,506,3
12342,460,3
12342,463,3
12342,487,3
12342,474,3
12342,510,3
12342,503,3
12342,499,3
12342,489,3
12482,479,3
12482,506,3
12482,487,3
12482,474,3
12482,510,3
12482,503,3
12482,477,3
12482,481,3
12483,479,3
12483,506,3
12483,460,3
12483,487,3
12483,474,3
12483,510,3
12483,503,3
12483,499,3
12359,479,3
12359,506,3
12359,483,3
12359,487,3
12359,474,3
12359,510,3
12359,503,3
12359,490,3
12329,424,3
12329,432,3
12484,479,3
12484,423,3
12484,506,3
12484,487,3
12484,474,3
12484,510,3
12484,503,3
12484,486,3
12382,479,3
12382,506,3
12382,492,3
12382,485,3
12382,487,3
12382,474,3
12382,510,3
12341,428,3
12341,463,3
12485,483,3
12485,476,3
12486,513,3
12486,470,3
12487,455,3
12487,456,3
12487,509,3
12487,421,3
12487,488,3
12487,473,3
12487,438,3
12487,418,3
12487,511,3
12487,505,3
12468,541,3
12468,524,3
12488,545,3
12491,479,3
12491,538,3
12491,506,3
12491,487,3
12491,474,3
12491,510,3
12491,503,3
12491,529,3
12492,549,3
12478,7337,2
