ID,Domain,length,number_percent,char_percent,special_char_percent,domain_depth,tag
187,webinstall2.ddns.net,20,0.05,0.9,1.0,3,0
188,www.tibet-office.com,20,0.0,0.85,0.95,3,0
189,0mrc1aimid0.webhop.me,21,0.14285714285714285,0.9047619047619048,1.0,3,0
190,wba.com.hk,10,0.0,0.8,1.0,3,0
191,fallback.itbyhf.xyz,19,0.0,0.8947368421052632,1.0,3,0
192,viterwin.club,13,0.0,0.9230769230769231,1.0,2,0
193,www.wba.com.hk,14,0.0,0.7857142857142857,1.0,4,0
194,en.wikipedia.org,16,0.0,0.875,1.0,3,0
195,competitveedge.org.ovh.net,26,0.0,0.8846153846153846,1.0,4,0
196,competitveedge.org,18,0.0,0.9444444444444444,1.0,2,0
197,nakamini.ddns.net,17,0.0,0.8823529411764706,1.0,3,0
198,transfernows.net,16,0.0,0.9375,1.0,2,0
199,old.mine-wars.net,17,0.0,0.8235294117647058,0.9411764705882353,3,0
200,maila.buzztodayz.com,20,0.0,0.9,1.0,3,0
201,propet.lessonscrazy.com,23,0.0,0.9130434782608695,1.0,3,0
202,yourwebsite.mine-wars.net,25,0.0,0.88,0.96,3,0
203,ftp.secuina.net,15,0.0,0.8666666666666667,1.0,3,0
204,0451fqz.com,11,0.36363636363636365,0.9090909090909091,1.0,2,0
205,sshtunnel.itbyhf.xyz,20,0.0,0.9,1.0,3,0
206,0jqcdn01.herokuapp.com,22,0.13636363636363635,0.9090909090909091,1.0,3,0
207,herokuapp.com,13,0.0,0.9230769230769231,1.0,2,0
208,api.dhimmi.top,14,0.0,0.8571428571428571,1.0,3,0
209,imativencell.xyz,16,0.0,0.9375,1.0,2,0
210,00billi.webhop.me,17,0.11764705882352941,0.8823529411764706,1.0,3,0
211,08bills.webhop.me,17,0.11764705882352941,0.8823529411764706,1.0,3,0
212,08secure-updates00.webhop.me,28,0.14285714285714285,0.8928571428571429,0.9642857142857143,3,0
213,defeated.store,14,0.0,0.9285714285714286,1.0,2,0
214,tibet-office.com,16,0.0,0.875,0.9375,2,0
215,www.binbetrunken.de,19,0.0,0.8947368421052632,1.0,3,0
216,ftp.kazbab.lt,13,0.0,0.8461538461538461,1.0,3,0
217,en-us-office.herokuapp.com,26,0.0,0.8461538461538461,0.9230769230769231,3,0
218,service.beijingdasihei.com,26,0.0,0.9230769230769231,1.0,3,6
219,3mtb.mynumber.org,17,0.058823529411764705,0.8823529411764706,1.0,3,6
220,0505l9.sendsmtp.com,19,0.2631578947368421,0.8947368421052632,1.0,3,6
221,backaaa.beijingdasihei.com,26,0.0,0.9230769230769231,1.0,3,6
222,06s60g.ikwb.com,15,0.26666666666666666,0.8666666666666667,1.0,3,6
223,abusastocazzo1.servegame.org,28,0.03571428571428571,0.9285714285714286,1.0,3,6
224,admin-account666ch.https443.org,31,0.1935483870967742,0.9032258064516129,0.967741935483871,3,6
225,1001pubg.ezua.com,17,0.23529411764705882,0.8823529411764706,1.0,3,6
226,07iu99x9.ikwb.com,17,0.29411764705882354,0.8823529411764706,1.0,3,6
227,1000diamond.ezua.com,20,0.2,0.9,1.0,3,6
228,04073k7.sendsmtp.com,20,0.3,0.9,1.0,3,6
229,02amazon-com.redirectme.net,27,0.07407407407407407,0.8888888888888888,0.9629629629629629,3,6
230,0wqz9v.sendsmtp.com,19,0.10526315789473684,0.8947368421052632,1.0,3,6
231,aaa.beijingdasihei.com,22,0.0,0.9090909090909091,1.0,3,6
232,001100.redirectme.net,21,0.2857142857142857,0.9047619047619048,1.0,3,6
233,00880.redirectme.net,20,0.25,0.9,1.0,3,6
234,01887.ezua.com,14,0.35714285714285715,0.8571428571428571,1.0,3,6
